site_id,product_type_id,pos_count_target
SI001104,electronic_recharge,8
SI001104,handset,35
SI001104,mfs,6
SI001104,physical_recharge,16
SI001104,sim,8
SI001105,mfs,3
SI001105,sim,3
SI001106,electronic_recharge,3
SI001106,handset,29
SI001106,mfs,2
SI001106,physical_recharge,7
SI001106,sim,2
SI001110,electronic_recharge,4
SI001110,handset,97
SI001110,mfs,8
SI001110,physical_recharge,8
SI001110,sim,5
SI001111,electronic_recharge,6
SI001111,handset,124
SI001111,mfs,3
SI001111,physical_recharge,20
SI001111,sim,24
SI001112,electronic_recharge,4
SI001112,handset,140
SI001112,mfs,3
SI001112,physical_recharge,18
SI001112,sim,14
SI001116,handset,66
SI001118,electronic_recharge,3
SI001118,handset,52
SI001118,mfs,2
SI001118,sim,7
SI001119,electronic_recharge,5
SI001119,handset,134
SI001119,mfs,7
SI001119,sim,5
SI001126,electronic_recharge,3
SI001126,handset,128
SI001126,physical_recharge,4
SI001126,sim,12
SI001127,electronic_recharge,4
SI001127,handset,67
SI001127,mfs,5
SI001127,physical_recharge,3
SI001127,sim,5
SI001128,electronic_recharge,3
SI001128,handset,48
SI001128,mfs,3
SI001128,physical_recharge,4
SI001128,sim,3
SI001131,electronic_recharge,4
SI001131,handset,39
SI001131,mfs,8
SI001131,physical_recharge,17
SI001131,sim,14
SI001141,mfs,3
SI001143,electronic_recharge,7
SI001143,handset,52
SI001143,mfs,1
SI001143,physical_recharge,8
SI001143,sim,4
SI001145,electronic_recharge,11
SI001145,handset,91
SI001145,mfs,6
SI001145,physical_recharge,3
SI001145,sim,9
SI001149,handset,26
SI001149,mfs,2
SI001149,physical_recharge,8
SI001149,sim,14
SI001152,electronic_recharge,8
SI001152,handset,34
SI001152,mfs,2
SI001152,physical_recharge,11
SI001165,electronic_recharge,4
SI001165,handset,134
SI001165,mfs,3
SI001165,physical_recharge,7
SI001165,sim,6
SI001169,handset,70
SI001169,physical_recharge,7
SI001169,sim,9
SI001171,electronic_recharge,1
SI001171,handset,33
SI001171,mfs,3
SI001171,physical_recharge,8
SI001181,electronic_recharge,10
SI001181,handset,81
SI001181,mfs,5
SI001181,physical_recharge,12
SI001181,sim,6
SI001182,sim,3
SI001183,electronic_recharge,2
SI001183,handset,55
SI001183,mfs,2
SI001183,sim,4
SI001187,electronic_recharge,1
SI001187,handset,58
SI001187,mfs,7
SI001187,physical_recharge,9
SI001187,sim,7
SI001188,electronic_recharge,6
SI001188,handset,132
SI001188,mfs,10
SI001188,physical_recharge,32
SI001188,sim,7
SI001190,electronic_recharge,3
SI001190,handset,48
SI001190,mfs,2
SI001190,physical_recharge,3
SI001190,sim,5
SI001199,electronic_recharge,3
SI001199,handset,52
SI001199,mfs,1
SI001199,physical_recharge,3
SI001199,sim,4
SI001202,electronic_recharge,9
SI001202,handset,206
SI001202,mfs,2
SI001202,physical_recharge,26
SI001202,sim,12
SI001203,electronic_recharge,10
SI001203,handset,108
SI001203,mfs,13
SI001203,physical_recharge,14
SI001203,sim,5
SI001227,sim,5
SI001232,electronic_recharge,12
SI001232,handset,161
SI001232,mfs,6
SI001232,physical_recharge,16
SI001232,sim,9
SI001233,electronic_recharge,4
SI001233,handset,110
SI001233,mfs,11
SI001233,physical_recharge,14
SI001233,sim,7
SI001234,handset,29
SI001234,physical_recharge,13
SI001236,electronic_recharge,6
SI001236,mfs,4
SI001236,physical_recharge,13
SI001236,sim,6
SI001238,electronic_recharge,6
SI001238,handset,146
SI001238,mfs,7
SI001238,physical_recharge,22
SI001238,sim,21
SI001246,electronic_recharge,9
SI001246,handset,134
SI001246,mfs,6
SI001246,physical_recharge,24
SI001246,sim,13
SI001249,electronic_recharge,9
SI001249,handset,71
SI001249,mfs,4
SI001249,physical_recharge,20
SI001249,sim,14
SI001251,mfs,8
SI001251,sim,6
SI001255,electronic_recharge,2
SI001255,handset,116
SI001255,mfs,1
SI001255,physical_recharge,24
SI001255,sim,5
SI001257,electronic_recharge,7
SI001257,handset,134
SI001257,mfs,4
SI001257,physical_recharge,16
SI001257,sim,4
SI001258,electronic_recharge,4
SI001258,mfs,1
SI001262,electronic_recharge,3
SI001262,handset,50
SI001262,mfs,3
SI001262,physical_recharge,6
SI001262,sim,5
SI001268,electronic_recharge,3
SI001268,mfs,3
SI001268,physical_recharge,6
SI001268,sim,5
SI001269,electronic_recharge,2
SI001269,handset,49
SI001269,mfs,4
SI001271,electronic_recharge,3
SI001271,handset,101
SI001271,mfs,7
SI001272,electronic_recharge,4
SI001272,physical_recharge,6
SI001273,electronic_recharge,4
SI001273,handset,79
SI001273,mfs,7
SI001273,physical_recharge,7
SI001273,sim,10
SI001274,electronic_recharge,1
SI001274,handset,147
SI001274,mfs,6
SI001274,physical_recharge,7
SI001274,sim,9
SI001275,electronic_recharge,6
SI001275,handset,111
SI001275,mfs,7
SI001275,physical_recharge,10
SI001275,sim,9
SI001276,electronic_recharge,10
SI001276,handset,138
SI001276,mfs,10
SI001276,physical_recharge,20
SI001276,sim,9
SI001277,electronic_recharge,6
SI001277,handset,111
SI001277,mfs,8
SI001277,physical_recharge,8
SI001277,sim,7
SI001279,electronic_recharge,3
SI001280,handset,35
SI001283,electronic_recharge,3
SI001283,handset,121
SI001283,mfs,4
SI001283,sim,14
SI001284,electronic_recharge,7
SI001284,handset,61
SI001284,mfs,3
SI001284,physical_recharge,7
SI001284,sim,4
SI001285,handset,36
SI001287,electronic_recharge,4
SI001287,mfs,1
SI001288,electronic_recharge,9
SI001288,handset,37
SI001288,mfs,5
SI001288,sim,3
SI001289,electronic_recharge,11
SI001289,handset,121
SI001289,mfs,10
SI001289,physical_recharge,26
SI001289,sim,9
SI001294,electronic_recharge,4
SI001294,handset,56
SI001294,mfs,3
SI001294,physical_recharge,16
SI001295,handset,25
SI001296,electronic_recharge,8
SI001296,mfs,4
SI001296,physical_recharge,25
SI001297,electronic_recharge,3
SI001297,mfs,3
SI001297,physical_recharge,6
SI001297,sim,4
SI001304,electronic_recharge,2
SI001304,handset,124
SI001304,mfs,3
SI001304,physical_recharge,3
SI001304,sim,7
SI001305,electronic_recharge,8
SI001305,handset,72
SI001305,mfs,6
SI001305,physical_recharge,14
SI001305,sim,7
SI001308,electronic_recharge,3
SI001308,handset,26
SI001308,mfs,4
SI001308,physical_recharge,3
SI001308,sim,6
SI001321,electronic_recharge,5
SI001321,handset,37
SI001321,mfs,7
SI001321,physical_recharge,14
SI001321,sim,8
SI001325,physical_recharge,8
SI001325,sim,6
SI001326,electronic_recharge,3
SI001326,handset,105
SI001326,mfs,4
SI001326,physical_recharge,10
SI001326,sim,12
SI001328,electronic_recharge,4
SI001328,physical_recharge,5
SI001328,sim,2
SI001330,electronic_recharge,3
SI001330,handset,61
SI001330,mfs,4
SI001330,physical_recharge,15
SI001330,sim,7
SI001331,handset,38
SI001331,physical_recharge,5
SI001331,sim,4
SI001332,mfs,2
SI001332,physical_recharge,11
SI001332,sim,12
SI001333,electronic_recharge,7
SI001333,handset,27
SI001333,mfs,3
SI001333,physical_recharge,15
SI001333,sim,5
SI001334,electronic_recharge,4
SI001334,handset,89
SI001334,mfs,2
SI001334,physical_recharge,16
SI001334,sim,14
SI001335,electronic_recharge,5
SI001335,handset,42
SI001335,mfs,4
SI001335,physical_recharge,6
SI001336,electronic_recharge,3
SI001336,handset,75
SI001336,mfs,2
SI001336,physical_recharge,11
SI001336,sim,5
SI001337,electronic_recharge,5
SI001337,handset,102
SI001337,mfs,7
SI001337,physical_recharge,6
SI001337,sim,10
SI001338,electronic_recharge,5
SI001338,physical_recharge,4
SI001338,sim,3
SI001339,electronic_recharge,6
SI001339,handset,166
SI001339,mfs,9
SI001339,physical_recharge,12
SI001339,sim,9
SI001341,electronic_recharge,5
SI001341,handset,124
SI001341,mfs,11
SI001341,physical_recharge,12
SI001341,sim,13
SI001342,electronic_recharge,2
SI001342,mfs,3
SI001342,physical_recharge,4
SI001343,electronic_recharge,1
SI001344,electronic_recharge,3
SI001344,physical_recharge,7
SI001347,electronic_recharge,2
SI001347,handset,194
SI001347,mfs,3
SI001347,physical_recharge,19
SI001347,sim,14
SI001348,electronic_recharge,4
SI001348,handset,197
SI001348,mfs,18
SI001348,physical_recharge,19
SI001348,sim,19
SI001350,electronic_recharge,1
SI001350,handset,147
SI001350,mfs,5
SI001350,physical_recharge,22
SI001350,sim,13
SI001351,electronic_recharge,3
SI001351,handset,89
SI001351,mfs,5
SI001351,physical_recharge,5
SI001351,sim,6
SI001352,handset,32
SI001352,mfs,2
SI001352,physical_recharge,4
SI001352,sim,6
SI001353,electronic_recharge,1
SI001353,handset,48
SI001353,mfs,4
SI001353,physical_recharge,4
SI001353,sim,2
SI001354,electronic_recharge,2
SI001354,handset,107
SI001354,mfs,3
SI001354,physical_recharge,7
SI001354,sim,10
SI001355,electronic_recharge,7
SI001355,handset,119
SI001355,mfs,5
SI001355,physical_recharge,24
SI001355,sim,13
SI001356,electronic_recharge,3
SI001356,mfs,4
SI001356,physical_recharge,3
SI001356,sim,4
SI001357,electronic_recharge,4
SI001357,handset,87
SI001357,mfs,6
SI001357,physical_recharge,7
SI001357,sim,15
SI001358,electronic_recharge,8
SI001358,mfs,2
SI001358,physical_recharge,8
SI001358,sim,13
SI001359,sim,4
SI001362,mfs,2
SI001362,physical_recharge,3
SI001363,electronic_recharge,7
SI001363,handset,53
SI001363,mfs,13
SI001363,physical_recharge,10
SI001363,sim,7
SI001364,handset,68
SI001365,electronic_recharge,2
SI001365,handset,25
SI001365,physical_recharge,7
SI001366,electronic_recharge,3
SI001366,handset,155
SI001366,mfs,10
SI001366,physical_recharge,13
SI001366,sim,10
SI001367,handset,48
SI001367,mfs,1
SI001367,physical_recharge,5
SI001367,sim,7
SI001372,electronic_recharge,1
SI001372,sim,6
SI001377,electronic_recharge,4
SI001377,handset,134
SI001377,mfs,1
SI001377,physical_recharge,9
SI001377,sim,12
SI001380,electronic_recharge,3
SI001380,handset,53
SI001382,electronic_recharge,4
SI001382,mfs,5
SI001382,physical_recharge,7
SI001382,sim,7
SI001386,electronic_recharge,3
SI001386,handset,67
SI001386,physical_recharge,5
SI001386,sim,4
SI001387,electronic_recharge,7
SI001387,handset,155
SI001387,mfs,8
SI001387,physical_recharge,16
SI001387,sim,11
SI001389,electronic_recharge,7
SI001389,mfs,6
SI001389,physical_recharge,14
SI001389,sim,12
SI001394,electronic_recharge,4
SI001394,mfs,2
SI001394,physical_recharge,3
SI001394,sim,6
SI001395,electronic_recharge,3
SI001395,handset,68
SI001396,handset,71
SI001396,mfs,1
SI001396,physical_recharge,8
SI001397,electronic_recharge,2
SI001397,handset,55
SI001397,sim,5
SI001398,electronic_recharge,2
SI001398,sim,4
SI001399,electronic_recharge,3
SI001399,mfs,4
SI001399,sim,2
SI001403,electronic_recharge,2
SI001403,handset,143
SI001403,mfs,3
SI001403,physical_recharge,9
SI001403,sim,15
SI001404,electronic_recharge,3
SI001404,handset,36
SI001404,mfs,2
SI001404,physical_recharge,5
SI001404,sim,6
SI001405,electronic_recharge,2
SI001405,handset,118
SI001405,mfs,12
SI001405,physical_recharge,9
SI001405,sim,5
SI001406,electronic_recharge,4
SI001406,handset,30
SI001406,mfs,3
SI001406,physical_recharge,7
SI001406,sim,6
SI001407,electronic_recharge,3
SI001407,handset,195
SI001407,mfs,4
SI001407,sim,5
SI001410,electronic_recharge,3
SI001410,mfs,7
SI001410,sim,4
SI001411,electronic_recharge,3
SI001411,physical_recharge,14
SI001413,electronic_recharge,2
SI001413,handset,60
SI001413,mfs,1
SI001413,sim,4
SI001416,electronic_recharge,1
SI001416,mfs,4
SI001417,electronic_recharge,12
SI001417,handset,207
SI001417,mfs,7
SI001417,physical_recharge,15
SI001417,sim,15
SI001421,handset,62
SI001421,mfs,4
SI001427,electronic_recharge,3
SI001427,mfs,3
SI001427,physical_recharge,6
SI001428,electronic_recharge,4
SI001428,handset,254
SI001428,mfs,17
SI001428,physical_recharge,22
SI001428,sim,14
SI001429,electronic_recharge,3
SI001429,handset,71
SI001429,mfs,2
SI001429,physical_recharge,8
SI001429,sim,5
SI001432,electronic_recharge,3
SI001432,handset,50
SI001432,mfs,9
SI001432,physical_recharge,12
SI001432,sim,6
SI001433,handset,37
SI001433,physical_recharge,5
SI001433,sim,2
SI001434,electronic_recharge,1
SI001434,handset,56
SI001434,mfs,3
SI001434,physical_recharge,4
SI001434,sim,6
SI001439,electronic_recharge,1
SI001439,handset,43
SI001439,physical_recharge,13
SI001439,sim,11
SI001440,electronic_recharge,6
SI001440,handset,96
SI001440,mfs,8
SI001440,physical_recharge,4
SI001440,sim,3
SI001441,electronic_recharge,3
SI001441,handset,68
SI001441,mfs,1
SI001441,physical_recharge,8
SI001441,sim,5
SI001442,handset,38
SI001442,mfs,3
SI001442,sim,7
SI001443,electronic_recharge,16
SI001443,handset,85
SI001443,mfs,6
SI001443,physical_recharge,8
SI001443,sim,14
SI001444,electronic_recharge,3
SI001444,handset,165
SI001444,mfs,3
SI001444,physical_recharge,17
SI001444,sim,11
SI001445,physical_recharge,4
SI001445,sim,4
SI001446,electronic_recharge,1
SI001446,handset,103
SI001446,mfs,4
SI001446,physical_recharge,9
SI001446,sim,9
SI001447,mfs,1
SI001448,electronic_recharge,2
SI001448,handset,139
SI001448,mfs,6
SI001448,physical_recharge,7
SI001448,sim,5
SI001450,electronic_recharge,6
SI001450,handset,90
SI001450,mfs,7
SI001450,physical_recharge,19
SI001450,sim,4
SI001451,electronic_recharge,5
SI001451,handset,64
SI001451,mfs,3
SI001451,physical_recharge,7
SI001451,sim,5
SI001453,mfs,3
SI001453,sim,5
SI001454,electronic_recharge,11
SI001454,handset,123
SI001454,mfs,6
SI001454,physical_recharge,14
SI001454,sim,23
SI001455,electronic_recharge,4
SI001455,mfs,2
SI001455,physical_recharge,8
SI001455,sim,14
SI001456,electronic_recharge,1
SI001456,handset,60
SI001456,mfs,2
SI001456,physical_recharge,8
SI001456,sim,6
SI001457,electronic_recharge,4
SI001457,handset,135
SI001457,mfs,2
SI001457,physical_recharge,7
SI001459,electronic_recharge,3
SI001459,handset,32
SI001459,mfs,3
SI001459,physical_recharge,12
SI001459,sim,7
SI001461,electronic_recharge,2
SI001461,mfs,3
SI001461,physical_recharge,14
SI001461,sim,4
SI001462,electronic_recharge,3
SI001462,handset,69
SI001462,mfs,6
SI001462,physical_recharge,14
SI001462,sim,8
SI001464,electronic_recharge,3
SI001464,handset,31
SI001464,mfs,1
SI001464,physical_recharge,7
SI001464,sim,3
SI001465,electronic_recharge,1
SI001465,handset,74
SI001465,mfs,7
SI001465,physical_recharge,3
SI001466,electronic_recharge,3
SI001466,handset,163
SI001466,mfs,5
SI001466,sim,9
SI001467,electronic_recharge,8
SI001467,handset,59
SI001467,mfs,11
SI001467,physical_recharge,12
SI001467,sim,12
SI001474,electronic_recharge,14
SI001474,handset,111
SI001474,mfs,15
SI001474,physical_recharge,30
SI001474,sim,51
SI001475,electronic_recharge,1
SI001475,mfs,2
SI001475,physical_recharge,11
SI001475,sim,10
SI001476,electronic_recharge,4
SI001476,handset,163
SI001476,mfs,12
SI001476,physical_recharge,28
SI001476,sim,12
SI001477,electronic_recharge,6
SI001477,handset,62
SI001477,mfs,6
SI001477,physical_recharge,8
SI001477,sim,12
SI001478,electronic_recharge,2
SI001478,handset,64
SI001478,mfs,3
SI001478,physical_recharge,8
SI001478,sim,2
SI001480,electronic_recharge,3
SI001480,handset,47
SI001480,physical_recharge,3
SI001480,sim,2
SI001482,mfs,3
SI001482,physical_recharge,7
SI001484,electronic_recharge,5
SI001484,handset,26
SI001484,mfs,1
SI001484,physical_recharge,13
SI001484,sim,3
SI001485,electronic_recharge,6
SI001485,handset,146
SI001485,mfs,7
SI001485,physical_recharge,17
SI001485,sim,15
SI001487,electronic_recharge,6
SI001487,handset,208
SI001487,mfs,3
SI001487,physical_recharge,18
SI001487,sim,6
SI001488,electronic_recharge,8
SI001488,handset,66
SI001488,mfs,8
SI001488,physical_recharge,15
SI001488,sim,20
SI001489,electronic_recharge,2
SI001489,handset,135
SI001489,mfs,2
SI001489,physical_recharge,8
SI001489,sim,4
SI001490,handset,28
SI001490,mfs,3
SI001490,physical_recharge,8
SI001490,sim,2
SI001492,handset,50
SI001492,mfs,5
SI001492,physical_recharge,8
SI001492,sim,5
SI001494,electronic_recharge,4
SI001494,handset,25
SI001494,mfs,1
SI001494,physical_recharge,6
SI001494,sim,4
SI001496,electronic_recharge,2
SI001496,handset,34
SI001496,mfs,3
SI001496,physical_recharge,13
SI001496,sim,6
SI001497,electronic_recharge,3
SI001497,handset,174
SI001497,mfs,5
SI001497,physical_recharge,5
SI001497,sim,16
SI001501,electronic_recharge,4
SI001501,handset,37
SI001501,mfs,6
SI001501,physical_recharge,26
SI001501,sim,17
SI001502,electronic_recharge,3
SI001502,handset,35
SI001502,mfs,5
SI001502,physical_recharge,6
SI001502,sim,8
SI001503,electronic_recharge,2
SI001503,handset,149
SI001503,mfs,5
SI001503,physical_recharge,7
SI001504,electronic_recharge,4
SI001504,handset,60
SI001504,mfs,11
SI001504,physical_recharge,17
SI001504,sim,9
SI001505,electronic_recharge,12
SI001505,handset,72
SI001505,mfs,5
SI001505,physical_recharge,7
SI001505,sim,6
SI001506,handset,63
SI001506,sim,5
SI001510,handset,30
SI001510,mfs,3
SI001510,sim,8
SI001513,physical_recharge,8
SI001513,sim,6
SI001514,electronic_recharge,22
SI001514,handset,125
SI001514,mfs,13
SI001514,physical_recharge,23
SI001514,sim,18
SI001515,electronic_recharge,5
SI001515,handset,76
SI001515,mfs,4
SI001515,physical_recharge,3
SI001515,sim,7
SI001516,electronic_recharge,2
SI001516,physical_recharge,8
SI001516,sim,2
SI001517,electronic_recharge,13
SI001517,handset,134
SI001517,mfs,8
SI001517,physical_recharge,11
SI001517,sim,16
SI001518,electronic_recharge,4
SI001518,mfs,2
SI001518,physical_recharge,10
SI001518,sim,3
SI001519,electronic_recharge,1
SI001519,handset,114
SI001519,mfs,3
SI001519,physical_recharge,7
SI001519,sim,9
SI001520,electronic_recharge,4
SI001520,handset,185
SI001520,sim,19
SI001522,electronic_recharge,5
SI001522,handset,121
SI001522,mfs,9
SI001522,physical_recharge,10
SI001522,sim,10
SI001524,electronic_recharge,4
SI001524,handset,57
SI001524,mfs,8
SI001524,physical_recharge,6
SI001524,sim,6
SI001525,electronic_recharge,3
SI001525,handset,62
SI001525,mfs,8
SI001525,sim,3
SI001526,electronic_recharge,9
SI001526,handset,73
SI001526,mfs,3
SI001526,physical_recharge,28
SI001526,sim,6
SI001527,handset,31
SI001527,physical_recharge,6
SI001529,electronic_recharge,6
SI001529,handset,81
SI001529,physical_recharge,7
SI001529,sim,4
SI001531,electronic_recharge,2
SI001531,handset,53
SI001531,mfs,3
SI001531,physical_recharge,7
SI001533,electronic_recharge,2
SI001533,handset,55
SI001533,mfs,1
SI001533,physical_recharge,8
SI001533,sim,5
SI001534,electronic_recharge,4
SI001534,handset,52
SI001534,mfs,1
SI001534,physical_recharge,3
SI001534,sim,3
SI001535,electronic_recharge,2
SI001535,handset,26
SI001535,mfs,6
SI001535,physical_recharge,8
SI001535,sim,4
SI001537,electronic_recharge,15
SI001537,handset,343
SI001537,mfs,17
SI001537,physical_recharge,16
SI001537,sim,31
SI001538,electronic_recharge,3
SI001538,handset,106
SI001538,physical_recharge,14
SI001538,sim,20
SI001539,electronic_recharge,3
SI001539,handset,60
SI001539,physical_recharge,7
SI001539,sim,5
SI001540,handset,50
SI001540,physical_recharge,8
SI001544,electronic_recharge,3
SI001544,mfs,2
SI001544,physical_recharge,6
SI001544,sim,10
SI001551,handset,57
SI001551,mfs,4
SI001551,physical_recharge,6
SI001551,sim,7
SI001552,electronic_recharge,11
SI001552,handset,157
SI001552,mfs,15
SI001552,physical_recharge,31
SI001552,sim,16
SI001553,electronic_recharge,1
SI001553,handset,52
SI001553,mfs,2
SI001553,physical_recharge,7
SI001553,sim,14
SI001554,electronic_recharge,3
SI001554,handset,192
SI001554,mfs,4
SI001554,physical_recharge,6
SI001554,sim,8
SI001556,electronic_recharge,2
SI001556,mfs,3
SI001556,physical_recharge,5
SI001557,handset,58
SI001557,mfs,3
SI001557,physical_recharge,8
SI001557,sim,2
SI001559,physical_recharge,4
SI001559,sim,4
SI001560,electronic_recharge,7
SI001560,handset,150
SI001560,mfs,22
SI001560,physical_recharge,21
SI001560,sim,24
SI001561,electronic_recharge,2
SI001561,physical_recharge,3
SI001561,sim,6
SI001565,electronic_recharge,3
SI001565,handset,123
SI001565,mfs,3
SI001565,physical_recharge,7
SI001565,sim,14
SI001567,electronic_recharge,6
SI001567,handset,126
SI001567,mfs,2
SI001567,physical_recharge,11
SI001571,electronic_recharge,4
SI001571,handset,62
SI001571,physical_recharge,12
SI001571,sim,6
SI001577,sim,13
SI001578,electronic_recharge,4
SI001578,handset,35
SI001578,mfs,4
SI001578,physical_recharge,4
SI001578,sim,12
SI001579,electronic_recharge,16
SI001579,handset,160
SI001579,mfs,5
SI001579,physical_recharge,9
SI001579,sim,23
SI001580,electronic_recharge,2
SI001580,handset,57
SI001580,mfs,8
SI001580,physical_recharge,6
SI001580,sim,5
SI001582,handset,35
SI001582,mfs,4
SI001583,electronic_recharge,4
SI001583,handset,193
SI001583,mfs,6
SI001583,physical_recharge,22
SI001583,sim,23
SI001586,electronic_recharge,2
SI001586,handset,31
SI001586,mfs,3
SI001586,physical_recharge,22
SI001586,sim,6
SI001587,electronic_recharge,1
SI001587,handset,28
SI001587,mfs,6
SI001587,physical_recharge,6
